protein,TE,25_gray,50_gray,75_gray
100.0,9,75.0,67.0,62.0
100.0,18,83.0,75.0,71.0
100.0,27,97.0,90.0,85.0
100.0,36,106.0,99.0,95.0
100.0,45,116.0,110.0,106.0
100.0,54,126.0,120.0,116.0
100.0,63,136.0,130.0,126.0
100.0,72,143.0,138.0,135.0
100.0,81,150.0,145.0,142.0
100.0,90,159.0,154.0,150.0
100.0,99,164.0,160.0,157.0
100.0,108,170.0,165.0,161.0
100.0,117,176.0,173.0,170.0
100.0,126,182.0,177.0,174.0
100.0,135,188.0,185.0,183.0
100.0,144,192.0,188.0,185.0
100.0,153,197.0,195.0,192.0
100.0,162,197.0,194.0,192.0
100.0,171,201.0,197.0,195.0
100.0,180,210.0,207.0,205.0
100.0,189,213.0,210.0,207.0
100.0,198,217.0,215.0,213.0
100.0,207,218.0,215.0,213.0
100.0,216,224.0,222.0,220.0
100.0,225,224.0,222.0,220.0
50.0,9,85.0,77.0,69.0
50.0,18,89.0,80.0,72.0
50.0,27,96.0,87.0,79.0
50.0,36,100.0,92.0,84.0
50.0,45,106.0,97.0,90.0
50.0,54,111.0,103.0,95.0
50.0,63,115.0,108.0,101.0
50.0,72,120.0,113.0,106.0
50.0,81,124.0,116.0,111.0
50.0,90,130.0,123.0,116.0
50.0,99,132.0,125.0,119.0
50.0,108,137.0,129.0,123.0
50.0,117,139.0,134.0,128.0
50.0,126,144.0,137.0,131.0
50.0,135,148.0,143.0,138.0
50.0,144,153.0,145.0,139.0
50.0,153,155.0,150.0,144.0
50.0,162,155.0,150.0,144.0
50.0,171,159.0,153.0,148.0
50.0,180,166.0,160.0,155.0
50.0,189,169.0,163.0,157.0
50.0,198,172.0,167.0,161.0
50.0,207,173.0,168.0,163.0
50.0,216,177.0,172.0,168.0
50.0,225,180.0,175.0,169.0
25.0,9,95.0,84.0,72.0
25.0,18,96.0,85.0,73.0
25.0,27,99.0,89.0,77.0
25.0,36,103.0,92.0,80.0
25.0,45,105.0,94.0,82.0
25.0,54,108.0,96.0,86.0
25.0,63,110.0,99.0,89.0
25.0,72,113.0,102.0,91.0
25.0,81,114.0,104.0,93.0
25.0,90,118.0,108.0,97.0
25.0,99,117.0,108.0,97.0
25.0,108,121.0,111.0,99.0
25.0,117,123.0,112.0,102.0
25.0,126,126.0,114.0,104.0
25.0,135,128.0,119.0,109.0
25.0,144,130.0,120.0,110.0
25.0,153,132.0,123.0,112.0
25.0,162,132.0,122.0,112.0
25.0,171,135.0,125.0,115.0
25.0,180,140.0,130.0,120.0
25.0,189,141.0,131.0,121.0
25.0,198,143.0,133.0,124.0
25.0,207,143.0,133.0,123.0
25.0,216,146.0,137.0,127.0
25.0,225,148.0,139.0,129.0
12.5,9,87.0,77.0,66.0
12.5,18,88.0,77.0,65.0
12.5,27,89.0,78.0,67.0
12.5,36,91.0,81.0,69.0
12.5,45,92.0,81.0,70.0
12.5,54,94.0,83.0,72.0
12.5,63,95.0,84.0,74.0
12.5,72,97.0,86.0,75.0
12.5,81,97.0,87.0,76.0
12.5,90,101.0,90.0,79.0
12.5,99,99.0,89.0,78.0
12.5,108,100.0,89.0,78.0
12.5,117,102.0,91.0,80.0
12.5,126,104.0,92.0,81.0
12.5,135,105.0,96.0,85.0
12.5,144,108.0,96.0,86.0
12.5,153,107.0,96.0,86.0
12.5,162,109.0,97.0,87.0
12.5,171,110.0,99.0,88.0
12.5,180,113.0,102.0,92.0
12.5,189,112.0,101.0,91.0
12.5,198,114.0,104.0,93.0
12.5,207,114.0,103.0,92.0
12.5,216,117.0,106.0,95.0
12.5,225,117.0,106.0,95.0
6.25,9,88.0,77.0,67.0
6.25,18,88.0,78.0,67.0
6.25,27,87.0,78.0,67.0
6.25,36,91.0,80.0,70.0
6.25,45,90.0,79.0,68.0
6.25,54,92.0,81.0,71.0
6.25,63,91.0,81.0,71.0
6.25,72,94.0,83.0,73.0
6.25,81,92.0,83.0,73.0
6.25,90,96.0,86.0,75.0
6.25,99,93.0,83.0,73.0
6.25,108,95.0,84.0,73.0
6.25,117,94.0,84.0,73.0
6.25,126,97.0,86.0,75.0
6.25,135,96.0,87.0,77.0
6.25,144,99.0,88.0,78.0
6.25,153,98.0,88.0,78.0
6.25,162,98.0,88.0,78.0
6.25,171,100.0,90.0,80.0
6.25,180,103.0,92.0,82.0
6.25,189,101.0,90.0,80.0
6.25,198,103.0,93.0,82.0
6.25,207,101.0,91.0,80.0
6.25,216,103.0,93.0,82.0
6.25,225,104.0,93.0,83.0
0.0,9,80.0,77.0,73.0
0.0,18,79.0,73.0,71.0
0.0,27,82.0,76.0,73.0
0.0,36,79.0,75.0,73.0
0.0,45,82.0,76.0,73.0
0.0,54,81.0,78.0,76.0
0.0,63,81.0,76.0,73.0
0.0,72,82.0,79.0,77.0
0.0,81,80.0,75.0,73.0
0.0,90,85.0,82.0,80.0
0.0,99,78.0,74.0,72.0
0.0,108,83.0,78.0,74.0
0.0,117,79.0,76.0,72.0
0.0,126,83.0,77.0,74.0
0.0,135,81.0,79.0,77.0
0.0,144,83.0,77.0,74.0
0.0,153,82.0,80.0,78.0
0.0,162,82.0,80.0,77.0
0.0,171,83.0,76.0,73.0
0.0,180,82.0,78.0,75.0
0.0,189,83.0,79.0,77.0
0.0,198,82.0,79.0,75.0
0.0,207,82.0,75.0,72.0
0.0,216,82.0,79.0,77.0
0.0,225,83.0,76.0,73.0
