,100,50,25,12.5,6.25,0
9,67.32070910556004,75.56268882175226,82.74159021406729,75.39619520264682,76.31083202511775,76.60051768766178
18,75.78386844166013,79.76443418013858,83.73889739663093,75.70491803278688,76.67138364779873,73.73961218836564
27,89.81478472786353,86.4433811802233,87.15900233826969,76.73181049069373,76.57097541633624,75.98336252189142
36,99.73654159869494,91.01201201201201,89.98684210526315,79.38600823045269,79.7612293144208,75.66125760649086
45,110.27520661157024,96.70170015455952,92.81970970206265,80.17069109075771,77.98562300319489,76.93486238532111
54,120.0164835164835,102.26053639846742,95.89026275115918,82.24609053497943,80.15372424722662,78.35463917525774
63,129.87863247863248,107.69053117782909,98.06587301587302,83.39607201309329,80.1201581027668,76.66055045871559
72,138.2736660929432,112.02830188679246,100.88863287250385,85.70642201834863,82.06285253827559,78.98838248436104
81,145.63935810810813,116.15149253731343,102.96737481031866,85.7475,81.88557993730407,76.0147347740668
90,153.88830715532288,122.5807962529274,106.94099378881987,89.00997506234415,84.7953307392996,81.97907188353048
99,159.65568369028006,124.85329103885806,107.01864801864801,87.68170631665299,82.32387706855792,74.26299694189603
108,164.95640802092413,128.84915773353754,109.56201550387595,88.63870431893687,83.24003127443316,77.8638412984671
117,172.56192080876158,133.37317073170732,111.08467741935485,90.15397489539748,82.7522783761392,75.38140417457305
126,176.8060965283658,136.7035019455253,113.97043214556481,91.01351351351352,85.27351097178683,77.27806122448979
135,185.011466011466,142.70238095238096,118.27751937984496,94.3109600679694,85.93111638954869,78.63881636205397
144,187.78112286411715,145.10590015128594,118.45705279747833,95.48759007205766,87.2887323943662,77.62027833001989
153,194.43636363636364,149.4025356576862,121.82199367088609,95.4514003294893,86.92805755395685,79.78966789667896
162,194.32888888888888,149.38510301109352,120.97784810126583,96.442892358258,86.79066022544282,79.7994480220791
171,197.67402826855124,152.217524980784,124.61330239752513,97.84109816971713,89.27353177795655,76.73456221198157
180,207.2153846153846,159.99210734017362,129.02936507936508,101.3577371048253,91.29618082618862,77.63636363636363
189,210.25968992248062,162.42267267267266,129.85167464114832,100.88999999999999,89.4,79.16695059625212
198,214.47213779128674,165.83836858006043,132.5722356739306,102.6872427983539,91.66588050314465,78.18325041459369
207,215.21177432542927,167.28969149736645,131.89443996776794,101.62379421221866,89.53206650831353,75.9389712292938
216,221.6416015625,171.6622361219703,136.54595443833466,104.96265560165975,91.7910447761194,79.00334728033474
225,221.7591763652641,174.10819165378672,137.9482496194825,105.2766497461929,92.35047468354429,77.2181663837012
