,0,0.9,2.0,3.48,4.46
9,63.65703634669151,58.61967418546365,62.31336405529953,57.243157224697654,46.39561091340451
18,63.044871794871796,58.82649253731344,61.58348851644942,57.293838862559255,48.26078557630393
27,63.32553407934893,57.16361556064072,60.832916145181485,56.34837425348374,45.97943925233645
36,61.613345521023774,58.03850931677019,58.94176581089542,55.36221009549794,46.982154238368395
45,63.00859598853867,55.91090269636578,59.9002574002574,55.285447761194035,44.93712212817411
54,61.21596244131456,55.94221411192214,59.78557630392788,55.4958158995816,46.04314420803783
63,62.85068762278979,56.589378238341965,61.80523627075351,57.15901060070672,46.02196461256864
72,59.475536480686685,57.202815099168276,59.69435637285986,55.59838817998656,46.00955414012739
81,59.78089887640451,54.701314965560414,59.171355498721226,54.46689419795223,44.00927643784786
90,59.16367076631977,55.79891631547261,58.59777227722773,54.368823938761295,46.24465408805031
99,60.84976525821597,55.29016189290161,61.733499377334994,56.57987012987013,45.100882723833536
108,60.330532212885146,57.40135218192992,60.815754339118826,55.75668623613828,48.16757082579866
117,59.62867996201331,55.29028436018956,60.774693350548745,56.19096509240245,44.37013364323067
126,59.838150289017335,56.348484848484844,59.0612113402062,53.97646310432569,46.922696351267774
135,58.402559055118104,54.17581699346405,60.20736434108528,55.23133776792312,43.37325227963527
144,57.20056497175142,54.318455971049445,59.66622691292875,54.4957095709571,44.344098649442174
153,57.60458167330677,54.466137888956695,59.71118421052631,54.73447098976109,44.365838885523914
162,58.791505791505784,54.163566388710706,59.165267914783726,54.09591704471808,46.0044275774826
171,56.918469217970056,53.19079754601228,58.43992606284658,53.56623376623378,43.20652173913044
180,56.05130513051304,51.93086719223771,56.748623853211,51.951347797501654,45.40314465408804
189,56.908606921029275,53.83168927250307,59.3158544108575,53.89262613195342,43.91136919315403
198,57.03597122302159,54.482976040353094,58.588684043229506,53.71475625823453,47.86586826347306
207,58.73881278538812,55.36406341749853,60.813712807244514,55.89014647137151,45.79049939098661
216,58.46428571428572,55.73732437385462,60.595588235294116,56.480491329479776,49.18543870566273
225,59.27808471454881,55.178317535545034,61.53349426674714,56.87907608695653,47.57973621103116
