,0,0.7,1.9,2.35,4.28
9,37.23775388291517,67.13386273397617,55.04721245605222,58.9286153846154,48.452247191011224
18,38.70951008645534,66.92905788876277,57.91967044284243,60.349425287356325,51.69031141868513
27,40.72528805336569,69.45157456922163,57.27132936507937,60.377804730139474,50.40935334872978
36,40.14165159734779,68.35244519392919,59.257583291894576,62.196841511562326,54.715765247410815
45,40.403498542274065,70.34645199761479,58.89332632685233,62.03894616265751,51.079128440366986
54,39.884848484848476,68.61281179138322,58.40230436869899,60.68824531516185,54.61704545454546
63,39.090207715133545,68.15601965601965,58.125944584382864,61.56709168184577,49.824143934997096
72,37.476,68.42533659730722,56.9400406504065,59.86228287841192,52.73724340175954
81,39.335178351783526,68.13957495692131,59.429303278688536,61.5951302378256,52.47096774193548
90,39.21428571428572,69.65191740412979,57.613866396761125,60.44093078758951,53.321554770318016
99,39.33449477351917,68.38484666265785,60.376355188435724,61.78358628442945,53.74203247143717
108,40.24471126357918,70.28787878787878,58.82863225119743,61.18405275779378,53.28898007033999
117,41.51980792316928,70.99577549788776,64.03435517970402,64.44703872437358,57.54032747119467
126,37.90700344431687,70.22672577580747,61.65786852589642,63.54545454545453,55.54181818181817
135,38.58233890214797,68.48690476190475,57.93878627968337,59.953461975028375,53.21082621082621
144,40.77777777777777,71.74473516273133,63.18295739348372,65.19518072289156,56.7336448598131
153,38.45327669902912,68.5792349726776,58.557526881720435,58.96422388920945,53.12670219064535
162,39.483754512635386,70.95419354838711,61.57267591165896,63.50159404888416,55.916864608076
171,39.80330882352942,71.18536887786732,61.62729528535979,63.52294085129907,56.07737397420868
180,39.510927347903134,70.37641154328733,61.10167714884696,61.65712545676004,55.79101123595507
189,43.80841976815131,73.78351712130006,65.19074262461851,67.8266516092603,60.25948973242066
198,39.18399532710279,70.32590361445784,62.133751306165095,61.52857142857144,54.97850087158628
207,40.099762470308775,71.64141722663408,61.816774837743395,63.98170731707316,57.91388400702988
216,36.879206730769226,68.79675285628383,59.89664082687338,60.89470588235295,54.070956103427534
225,43.020226055919096,73.7093023255814,64.64195663136661,66.2682783018868,61.40898203592815
