,0,0.1,0.13,0.15
9,72.41666666666666,43.351535836177476,47.10338225909382,51.36085825747725
18,72.05471698113209,45.18304172274563,48.7292817679558,52.16655780535598
27,74.92284866468842,45.6187806587246,51.171974522293,53.572372769332446
36,73.93301886792452,45.70886889460155,52.502191609267385,52.71428571428572
45,77.64218616567038,46.459738472126645,54.26013071895426,52.72820512820513
54,76.28760643330179,47.391702257474066,55.90920716112532,54.33854166666666
63,77.31227758007117,45.9940750493746,55.47503121098626,51.55500310752021
72,78.19465977605512,47.69206549118388,58.41908446163765,55.098012337217284
81,79.2490458015267,47.31672131147542,59.6714824120603,53.852961198093936
90,79.96277495769883,47.688844086021504,60.60997442455243,54.2332268370607
99,82.54193548387096,50.2135380321005,63.69956816779765,55.5890784982935
108,80.6043613707165,47.18684394681597,61.567893401015226,55.38486209108402
117,81.75334608030593,48.97270818754373,65.65087956698241,54.375919732441474
126,86.476688867745,50.869209809264305,67.25032258064516,57.27890267798824
135,83.94700260642918,49.48363874345549,68.48226018396846,55.8385093167702
144,87.86915077989602,52.08181203515889,70.35903919089759,57.20305537873966
153,85.97630799605133,50.64067576348279,70.96214511041009,57.25046267735965
162,88.4991789819376,51.145074224021585,71.12508017960232,55.103728813559314
171,87.05783738474435,51.61619718309859,74.83102310231024,58.92612137203167
180,91.71026490066225,54.28131560531841,74.68569595894803,57.01861360718871
189,89.53205741626795,53.35584415584415,77.66407766990292,60.12431108389467
198,91.84595959595958,53.43507817811013,76.80575079872204,57.11528326745719
207,91.19001919385798,52.79932432432432,78.55985489721886,57.87476400251731
216,92.76616915422886,52.894906511927786,79.09710610932476,58.718922651933696
225,94.44262295081967,54.91040843214756,82.05644644002567,58.27514231499052
